unit_id,ori_dg,tf_dg,preferred_orientation,preferred_temporal_frequency,osi_dg,dsi_dg,cv_os_dg,cv_ds_dg,peak_dff_dg
1534,3,1,135.0,2.0,0.4666666666666666,0.0,0.3072259023943794,0.7010568290215542,0.14666666666666667
1535,0,1,0.0,2.0,0.0035068788777988043,0.0,0.006403388553777741,0.6511620036011364,24.8
1536,1,1,45.0,2.0,0.6,0.0,0.263523138347365,0.7592585624440344,0.05333333333333334
1537,0,1,0.0,2.0,0.2571428571428571,0.0,0.25423728813559326,0.7245811303091907,0.29333333333333333
1538,3,3,135.0,8.0,0.5,0.0,0.2793801350694814,0.5862486374397893,0.36
1539,3,1,135.0,2.0,0.09677419354838705,0.0,0.09090909090909083,0.6192528782160318,0.22666666666666666
1540,0,1,0.0,2.0,0.035799522673031006,0.0,0.01910625605173175,0.6468931949616971,17.36
1541,3,1,135.0,2.0,0.36,0.0,0.2403700850309326,0.6818724957172562,0.22666666666666666
1542,2,3,90.0,8.0,0.3684210526315789,0.0,0.3256870560108443,0.7806550693530038,0.3466666666666667
1543,1,2,45.0,4.0,0.21153846153846156,0.0,0.13774394450885255,0.6703495506539232,2.52
1544,0,1,0.0,2.0,0.10621761658031093,0.0,0.06118409588404436,0.6344285921008275,5.693333333333333
1545,0,1,0.0,2.0,0.05479452054794526,0.0,0.03232224737941819,0.6415023013556188,12.32
1546,0,1,0.0,2.0,0.06305464736104627,0.0,0.03185062845058261,0.6449549512917696,15.173333333333334
1547,1,2,45.0,4.0,0.1285157940285572,0.0,0.07911795196978363,0.6627070484690578,17.3866666666666
1548,2,1,90.0,2.0,0.75,0.0,0.45276925690687075,0.8153454169597381,0.28
1549,0,1,0.0,2.0,0.7058823529411765,0.0,0.42857142857142855,0.49328945049853157,0.38666666666666666
1550,3,4,135.0,15.0,0.07142857142857144,0.0,0.057723002545840535,0.6323744928697413,0.4
1551,3,1,135.0,2.0,0.2842105263157895,0.0,0.19714900083910125,0.5959405948250833,0.8133333333333334
1552,0,1,0.0,2.0,0.07428571428571425,0.0,0.04141885674683539,0.6382978528359913,12.533333333333333
1553,3,4,135.0,15.0,0.09127182044887779,0.0,0.05276424651805641,0.6492157202966857,14.586666666666666
1554,3,4,135.0,15.0,0.16154873164218958,0.0,0.09168811282589676,0.6456019766170232,5.8
1555,0,1,0.0,2.0,0.11027756939234813,0.0,0.05476886841658375,0.6398181798386684,9.866666666666667
1556,3,1,135.0,2.0,0.02825517040489375,0.0,0.014658203293807614,0.6505247156454111,23.533333333333335
1557,2,4,90.0,15.0,0.5428571428571428,0.0,0.2617119612951069,0.7434401554779214,0.36
1558,1,2,45.0,4.0,0.1449275362318827,0.0,0.07779444576637025,0.670495124465118,2.1066666666666607
1559,1,4,45.0,15.0,0.0,0.0,0.19999999999999996,0.6,0.02666666666666667
1560,1,4,45.0,15.0,0.012345679012345654,0.0,0.1205354852773037,0.6232446267996862,0.5466666666666666
1561,3,4,135.0,15.0,0.6,0.0,0.37692624165265426,0.6785223991852481,1.8133333333333332
1562,3,4,135.0,15.0,0.19632706602536068,0.0,0.10475319299350097,0.639630498320061,18.24
1563,3,4,135.0,15.0,0.16420233463035017,0.0,0.08884941164992821,0.6408720441108172,9.973333333333333
1564,3,4,135.0,15.0,0.13043478260869565,0.0,0.11047334475956237,0.673627619216989,0.52
1565,0,2,0.0,4.0,1.0,0.0,0.49999999999999994,0.6123724356957946,0.05333333333333334
1566,2,3,90.0,8.0,0.4666666666666666,0.0,0.3466718994895484,0.7362101682477512,0.14666666666666667
1567,1,1,45.0,2.0,0.02021403091557669,0.0,0.012262191594162702,0.6543649513689382,11.44
1568,2,4,90.0,15.0,0.6,0.0,0.33333333333333337,0.7668068873217481,0.05333333333333334
1569,3,4,135.0,15.0,0.7777777777777778,0.0,0.45275396142329605,0.4854491969243328,0.21333333333333335
1570,3,4,135.0,15.0,0.42372881355932207,0.0,0.23606571822188818,0.5962743734006618,0.56
1571,0,3,0.0,8.0,0.28,0.0,0.24080732065382357,0.7189113235162155,0.4266666666666667
1572,3,4,135.0,15.0,0.5478260869565218,0.0,0.3434386968647464,0.6750689216172402,1.1866666666666668
1573,3,1,135.0,2.0,0.03555555555555559,0.0,0.030150084959724967,0.6418754538711848,18.64
1574,1,3,45.0,8.0,0.23076923076923075,0.0,0.13432835820895525,0.6909902163940603,0.32
1575,0,2,0.0,4.0,0.2682926829268293,0.0,0.1478034600372163,0.6230425915283506,0.6933333333333334
1576,3,4,135.0,15.0,0.20130932896890347,0.0,0.11288271859915021,0.6457276509065344,4.8933333333333335
